Date,Open,High,Low,Close,Volume
10/01/2022 15:30:00,356.8,359.25,353.55,358.15,1843562
11/01/2022 15:30:00,358.15,362.7,357.05,358.65,1019918
12/01/2022 15:30:00,359.15,366,356.55,364.85,1738270
13/01/2022 15:30:00,365,374.2,358.6,370.25,2924164
14/01/2022 15:30:00,370.25,374.35,356.3,357.7,4700387
17/01/2022 15:30:00,361,361,353.5,357.1,1571893
18/01/2022 15:30:00,358,359.5,347,348.7,1631061
19/01/2022 15:30:00,353.3,369.5,353.3,367.35,8460578
20/01/2022 15:30:00,366,367.9,361.5,364.2,1513144
21/01/2022 15:30:00,364,382.5,356,377.1,9950400
24/01/2022 15:30:00,377.1,379.85,367.9,372.8,4407054
25/01/2022 15:30:00,370,377.3,365.8,374.3,3877973
27/01/2022 15:30:00,372.45,374.15,357,359.4,2404382
28/01/2022 15:30:00,361.4,369.4,358.3,364.1,2352469
31/01/2022 15:30:00,365.75,377.4,363.55,367.1,2706629
01/02/2022 15:30:00,369.1,376.9,366.15,376.15,1563744
02/02/2022 15:30:00,379,389.9,378.15,387.25,4529790
03/02/2022 15:30:00,388,394.35,384.7,392.7,4692928
04/02/2022 15:30:00,393.8,395.7,389.65,391.65,2637508
07/02/2022 15:30:00,390.5,404.5,390.25,399.3,6057343
08/02/2022 15:30:00,403.9,410.7,399.7,404.6,7761396
09/02/2022 15:30:00,404.6,409.2,401.5,407.25,2428075
10/02/2022 15:30:00,406.1,408,401.25,403.7,1556043
11/02/2022 15:30:00,400,404.6,394.7,402.9,2008633
14/02/2022 15:30:00,395,402.75,392,393.55,1638123
